identifier	altId	text	transType	isPunc	isPrimary
40001001001	The-1	The		False	False
40001001002	book-1	book	k	False	True
40001001003	of-1	of	m	False	False
40001001004	the-1	the		False	False
40001001005	genealogy-1	genealogy	k	False	True
40001001006	of-2	of	m	False	False
40001001007	Jesus-1	Jesus	k	False	True
40001001008	Christ-1	Christ	k	False	True
40001001009	,-1	,		True	False
40001001010	the-2	the		False	False
40001001011	son-1	son	k	False	True
40001001012	of-2	of	m	False	False
40001001013	David-1	David	k	False	True
40001001014	,-2	,		True	False
40001001015	the-2	the		False	False
40001001016	son-2	son	k	False	True
40001001017	of-2	of	m	False	False
40001001018	Abraham-1	Abraham	k	False	True
40001001019	.-1	.		True	False
40001002001	Abraham-1	Abraham	k	False	True
40001002002	became-1	became	k	False	False
40001002003	the-1	the	k	False	False
40001002004	father-1	father	k	False	True
40001002005	of-1	of	k	False	False
40001002006	Isaac-1	Isaac	k	False	True
40001002007	,-1	,		True	False
40001002008	and-1	and	k	False	True
40001002009	Isaac-2	Isaac	k	False	True
40001002010	became-2	became	k	False	False
40001002011	the-2	the	k	False	False
40001002012	father-2	father	k	False	True
40001002013	of-2	of	k	False	False
40001002014	Jacob-1	Jacob	k	False	True
40001002015	,-2	,		True	False
40001002016	and-2	and	k	False	True
40001002017	Jacob-2	Jacob	k	False	True
40001002018	became-2	became	k	False	False
40001002019	the-2	the	k	False	False
40001002020	father-2	father	k	False	True
40001002021	of-2	of	k	False	False
40001002022	Judah-1	Judah	k	False	True
40001002023	and-2	and	k	False	True
40001002024	his-1	his	k	False	True
40001002025	brothers-1	brothers	k	False	True
40001002026	,-2	,		True	False
40001003001	and-1	and	k	False	True
40001003002	Judah-1	Judah	k	False	True
40001003003	became-1	became	k	False	False
40001003004	the-1	the	k	False	False
40001003005	father-1	father	k	False	True
40001003006	of-1	of	k	False	False
40001003007	Perez-1	Perez	k	False	True
40001003008	and-2	and	k	False	True
40001003009	Zerah-1	Zerah	k	False	True
40001003010	by-1	by	k	False	True
40001003011	Tamar-1	Tamar	k	False	True
40001003012	,-1	,		True	False
40001003013	and-2	and	k	False	True
40001003014	Perez-2	Perez	k	False	True
40001003015	became-2	became	k	False	False
40001003016	the-2	the	k	False	False
40001003017	father-2	father	k	False	True
40001003018	of-2	of	k	False	False
40001003019	Hezron-1	Hezron	k	False	True
40001003020	,-2	,		True	False
40001003021	and-2	and	k	False	True
40001003022	Hezron-2	Hezron	k	False	True
40001003023	became-2	became	k	False	False
40001003024	the-2	the	k	False	False
40001003025	father-2	father	k	False	True
40001003026	of-2	of	k	False	False
40001003027	Aram-1	Aram	k	False	True
40001003028	,-2	,		True	False
40001004001	and-1	and	k	False	True
40001004002	Aram-1	Aram	k	False	True
40001004003	became-1	became	k	False	False
40001004004	the-1	the	k	False	False
40001004005	father-1	father	k	False	True
40001004006	of-1	of	k	False	False
40001004007	Amminadab-1	Amminadab	k	False	True
40001004008	,-1	,		True	False
40001004009	and-2	and	k	False	True
40001004010	Amminadab-2	Amminadab	k	False	True
40001004011	became-2	became	k	False	False
40001004012	the-2	the	k	False	False
40001004013	father-2	father	k	False	True
40001004014	of-2	of	k	False	False
40001004015	Nahshon-1	Nahshon	k	False	True
40001004016	,-2	,		True	False
40001004017	and-2	and	k	False	True
40001004018	Nahshon-2	Nahshon	k	False	True
40001004019	became-2	became	k	False	False
40001004020	the-2	the	k	False	False
40001004021	father-2	father	k	False	True
40001004022	of-2	of	k	False	False
40001004023	Salmon-1	Salmon	k	False	True
40001004024	,-2	,		True	False
40001005001	and-1	and	k	False	True
40001005002	Salmon-1	Salmon	k	False	True
40001005003	became-1	became	k	False	False
40001005004	the-1	the	k	False	False
40001005005	father-1	father	k	False	True
40001005006	of-1	of	k	False	False
40001005007	Boaz-1	Boaz	k	False	True
40001005008	by-1	by	k	False	True
40001005009	Rahab-1	Rahab	k	False	True
40001005010	,-1	,		True	False
40001005011	and-2	and	k	False	True
40001005012	Boaz-2	Boaz	k	False	True
40001005013	became-2	became	k	False	False
40001005014	the-2	the	k	False	False
40001005015	father-2	father	k	False	True
40001005016	of-2	of	k	False	False
40001005017	Obed-1	Obed	k	False	True
40001005018	by-2	by	k	False	True
40001005019	Ruth-1	Ruth	k	False	True
40001005020	,-2	,		True	False
40001005021	and-2	and	k	False	True
40001005022	Obed-2	Obed	k	False	True
40001005023	became-2	became	k	False	False
40001005024	the-2	the	k	False	False
40001005025	father-2	father	k	False	True
40001005026	of-2	of	k	False	False
40001005027	Jesse-1	Jesse	k	False	True
40001005028	,-2	,		True	False
40001006001	and-1	and	k	False	True
40001006002	Jesse-1	Jesse	k	False	True
40001006003	became-1	became	k	False	False
40001006004	the-1	the	k	False	False
40001006005	father-1	father	k	False	True
40001006006	of-1	of	k	False	False
40001006007	David-1	David	k	False	True
40001006008	the-2	the	k	False	True
40001006009	king-1	king	k	False	True
40001006010	.-1	.		True	False
40001006011	And-1	And	k	False	True
40001006012	David-2	David	k	False	True
40001006013	became-2	became	k	False	False
40001006014	the-2	the	k	False	False
40001006015	father-2	father	k	False	True
40001006016	of-2	of	k	False	False
40001006017	Solomon-1	Solomon	k	False	True
40001006018	by-1	by	k	False	True
40001006019	the-2	the	k	False	True
40001006020	{-1	{		True	False
40001006021	wife-1	wife		False	False
40001006022	}-1	}		True	False
40001006023	of-2	of	m	False	False
40001006024	Uriah-1	Uriah	k	False	True
40001006025	,-1	,		True	False
40001007001	and-1	and	k	False	True
40001007002	Solomon-1	Solomon	k	False	True
40001007003	became-1	became	k	False	False
40001007004	the-1	the	k	False	False
40001007005	father-1	father	k	False	True
40001007006	of-1	of	k	False	False
40001007007	Rehoboam-1	Rehoboam	k	False	True
40001007008	,-1	,		True	False
40001007009	and-2	and	k	False	True
40001007010	Rehoboam-2	Rehoboam	k	False	True
40001007011	became-2	became	k	False	False
40001007012	the-2	the	k	False	False
40001007013	father-2	father	k	False	True
40001007014	of-2	of	k	False	False
40001007015	Abijah-1	Abijah	k	False	True
40001007016	,-2	,		True	False
40001007017	and-2	and	k	False	True
40001007018	Abijah-2	Abijah	k	False	True
40001007019	became-2	became	k	False	False
40001007020	the-2	the	k	False	False
40001007021	father-2	father	k	False	True
40001007022	of-2	of	k	False	False
40001007023	Asa-1	Asa	k	False	True
40001007024	,-2	,		True	False
40001008001	and-1	and	k	False	True
40001008002	Asa-1	Asa	k	False	True
40001008003	became-1	became	k	False	False
40001008004	the-1	the	k	False	False
40001008005	father-1	father	k	False	True
40001008006	of-1	of	k	False	False
40001008007	Jehoshaphat-1	Jehoshaphat	k	False	True
40001008008	,-1	,		True	False
40001008009	and-2	and	k	False	True
40001008010	Jehoshaphat-2	Jehoshaphat	k	False	True
